iter	Passed	Remaining
0	49	49361
1	51	25562
2	55	18575
3	72	18150
4	74	14810
5	77	127946	80	11456
7	89	11092
8	92	10141
9	93	9260
10	95	8563
11	119	9831
12	120	9123
13	120	8513
14	124	8147
15	126	7758
16	137	7930
17	138	7559
18	139	7189
19	140	6860
20	140	6558
21	141	6286
22	142	6036
23	143	5834
24	144	5621
25	144	5425
26	145	5245
27	146	5094
28	147	4934
29	148	4793
30	148	4656
31	149	4532
32	150	4410
33	151	4293434	160	4415
35	160	4305
36	161	4206
37	162	41138	171	4217
39	172	4131
40	173	4050
41	174	3977
42	175	3910
43	176	3833
44	177	3761
45	191	3961
46	191	3891
47	192	3820
48	193	3755
49	194	3697
50	195	3638
51	196	3576
52	197	3525
53	200	3518
54	204	3510
55	205	3457
56	205	3407
57	207	3367
58	208	3319
59	209	3282
60	210	3241
61	211	3196
62	211	3152
63	213	3115
64	232	3342
65	233	3298
66	233	3255
67	234	3213
68	235	3173
69	235	3134
70	236	3096
71	259	3342
72	260	3305
73	261	3271
74	262	3233
75	263	3202
76	264	3169
77	265	3135
78	301	3516
79	314	3616
80	315	3576
81	316	3541
82	317	3506
83	318	3472
84	319	3442
85	320	3409
86	321	3378
87	322	3343
88	323	3310
89	334	3384
90	335	3353
91	336	3323
92	338	3296
93	339	3268
94	340	3245
95	341	3214
96	342	3185
97	342	3155
98	344	3133
99	345	3110
100	346	3084
101	347	3059
102	348	3034
103	349	3010
104	350	2985
105	351	2962
106	352	2938
107	353	2917
108	354	2896
109	355	2874
110	356	2852
111	356	2830
112	358	2813
113	359	2793
114	360	2777
115	363	2769
116	364	2751
117	365	2730
118	366	2710
119	366	2690
120	368	2677
121	369	2657
122	370	2640
123	371	2621
124	371	2602
125	375	2604
126	376	2587
127	377	2570
128	378	2552
129	378	2534
130	379	2517
131	380	2502
132	381	2488
133	382	2471
134	383	2458
135	385	2447
136	387	2438
137	389	2432
138	391	2423
139	392	2413
140	393	2397
141	395	2388
142	396	2378
143	397	2363
144	420	2478
145	421	2463
146	422	2449
147	423	2436
148	424	2423
149	448	2542
150	450	2531
151	452	2524
152	454	2517
153	456	2510
154	490	2674
155	492	2666
156	493	2651
157	494	2635
158	495	2619
159	495	2603
160	496	2587
161	497	2574
162	499	2563
163	500	2550
164	501	2538
165	503	2529
166	504	2517
167	505	2505
168	507	2495
169	508	2481
170	509	2468
171	510	2455
172	511	2445
173	513	2435
174	531	2507
175	543	2542
176	544	2531
177	546	2522
178	585	2685
179	586	2672
180	587	2659
181	588	2646
182	589	2631
183	590	2617
184	591	2605
185	592	2592
186	594	2582
187	595	2571
188	596	2558
189	597	2545
190	598	2535
191	599	2524
192	601	2514
193	602	2503
194	603	2492
195	604	2481
196	619	2526
197	620	2514
198	621	2501
199	622	2489
200	623	2476
201	624	2467
202	626	2459
203	627	2448
204	628	2435
205	629	2427
206	630	2415
20208	631	238208	633	2399
20210	633	236210	636	2379
211	638	2373
21212	645	2386
213	646	2376
214	648	2366
215	649	2356
216	650	2348
217	651	2338
218	653	2329
219	654	2320
220	655	2309
221	656	2301
222	657	2291
223	659	2283
224	659	2272
225	660	2262
226	661	2252
227	662	2241
228	662	2231
229	663	2222
230	664	2213
231	665	2203
232	666	2194
233	667	2185
234	668	2177
235	669	2167
236	670	2158
237	671	2148
238	671	2139
239	672	2129
240	673	2120
241	674	2111
242	674	2102
243	675	2093
244	676	2084
245	678	2079
246	679	2070
247	691	2097
248	692	2088
249	693	2079
250	694	2071
251	695	2063
252	695	2054
253	696	2046
254	699	2042
255	700	2035
256	701	2027
257	701	2018
258	702	2010
259	703	2002
260	704	199261	712	2005
262	712	1997
263	713	1989
264	714	1981
26265	717	1980
266	723	1985
267	724	1977
268	724	196269	730	1976
270	732	1971
27271	742	1986
272	743	1978
273	743	1971
274	745	1964
275	745	1956
276	746	1948
277	747	1940
278	748	1934
279	749	1927
280	751	1922
281	752	1914
282	753	1907
283	754	1900
284	755	1894
285	756	1887
286	756	1880
287	757	1872
288	758	1866
289	759	18529290	808	1969
291	809	1962
292	810	1954
293	811	1947
294	812	1940
295	814	1936
296	822	1947
297	823	1940
298	824	1933
299	826	1928
300	827	1922
301	828	1915
302	830	1910
303	831	1902
304	845	1925
305	846	1919
306	847	1911
307	865	1943
308	865	1936
309	867	1930
310	868	1923
311	869	1917
312	870	1910
313	871	1903
314	872	1896
315	872	1889
316	873	1882
317	875	1876
318	876	1870
319	877	1864
320	878	1858
321	880	1853
322	881	1847
323	882	1842
324	884	1836
325	886	1832
326	887	1826
327	908	1862
328	909	1855
329	910	1848
330	913	1845
331	915	1841
332	917	1838
333	918	1832
334	919	1826
335	921	1821
336	922	1815
337	923	1809
338	924	1802
339	925	1796
340	926	1790
341	926	1783
342	927	1777
343	929	1772
344	944	1793
345	945	1786
346	945	1780
347	946	1773
348	947	1767
349	949	1762
350	955	1766
351	956	1760
352	956	1753
353	957	1747
354	958	1740
355	958	1734
356	960	1729
357	961	1723
358	962	1718
359	963	1712
360	963	1706
361	965	1700
362	967	1696
363	967	1691
364	968	1684
365	970	1680
366	971	1675
367	971	1669
368	972	1663
369	973	1657
370	973	1651
371	974	1645
372	985	1656
373	988	1653
374	988	1648
375	990	1643
376	1002	1657
377	1004	1652
378	1004	1646
379	1005	1640
380	1006	1635
381	1007	1629
382	1008	1624
383	1008	1618
384	1009	1612
385	1010	1607
386	1016	1609
387	1016	1603
388	1017	1598
389	1018	1592
390	1059	1650
391	1060	1644
392	1060	1638
393	1061	1632
394	1062	1627
395	1062	1621
396	1064	1616
397	1065	1611
398	1066	1606
399	1067	1601
400	1068	1596
401	1069	1590
402	1070	1585
403	1071	1580
404	1073	1576
405	1074	1572
406	1076	1567
407	1079	1565
408	1080	1560
409	1082	1557
410	1084	1554
411	1085	1549
412	1086	1544
413	1087	1538
414	1088	1533
415	1088	1528
416	1089	1522
417	1103	1536
418	1104	1531
419	1105	1526
420	1105	1520
421	1106	1515
422	1106	1509
423	1107	1504
424	1116	1510
425	1117	1505
426	1118	1500
427	1119	1495
428	1119	1490
429	1120	1485
430432	1120	14431433	1120	14432434	1121	14433435	1123	14434436	1124	14435437	1126	1445
438	1127	1440
439	1129	1437
440	1130	1432
441	1131	1428
442	1132	1423
443	1132	1418
444	1133	1413
445	1134	1408
446	1135	1404
447	1138	1402
448	1139	1398
449	1141	1394
450	1143	1392
451	1145	1389
452	1146	1384
453	1147	1380
454	1148	1375
455	1150	1372
456	1150	1367
457	1151	1363
458	1152	1358
459	1153	1354
460	1166	1363
461	1166	1358
462	1168	1355
463	1169	1350
464	1169	1346
465	1189	1363
466	1190	1359
467	1192	1355
468	1194	1351
469	1195	1347
470	1196	1343
471	1198	1340
472	1199	1335
473	1199	1331
474	1203	1330
475	1206	1328
476	1211	1328
477	1212	1324
478	1214	1321
479	1216	1318
480	1218	1314
481	1233	1325
482	1234	1320
483	1234	1316
484	1242	1319
485	1243	1315
486	1245	1311
487	1245	1307
488	1246	1302
489	1268	1320
490	1269	1315
491	1270	1311
492	1270	1306
493	1271	1302
494	1272	1297
495	1273	1294
496	1275	1291
497	1276	1286
498	1278	1283
499	1278	1278
500	1280	1275
501	1280	1270
502	1281	1266
503	1282	1262
504	1283	1258
505	1284	1253
506	1285	1249
507	1286	1245
508	1287	1241
509	1305	1254
510	1306	1250
511	1321	1259
512	1322	1255
513	1323	1250
514	1324	1247
515	1325	1243
516	1326	1239
517	1327	1235
518	1328	1230
519	1329	1227
520	1330	1223
521	1331	1219
522	1332	1214
523	1332	1210
524	1334	1207
525	1335	1203
526	1336	1199
527	1337	1195
528	1338	1191
529	1365	1210
530	1367	1207
531	1368	1203
532	1369	1199
533	1370	1195
534	1370	1191
535	1371	1187
536	1372	1183
537	1373	1179
538	1373	1175
539	1374	1171
540	1377	1168
541	1378	1164
542	1379	1160
543	1379	1156
544	1381	1153
545	1382	1149
546	1383	1145
547	1384	1142
548	1393	1145
549	1396	1142
550	1399	1140
551	1401	1137
552	1403	1134
553	1404	1130
554	1404	1126
555	1405	1122
556	1406	1118
557	1407	1115
558	1408	1111
559	1409	1107
560	1410	1104
561	1411	1100
562	1424	1105
563	1425	1102
564	1426	1098
565	1428	1094
566	1428	1091
567	1429	1087
568	1431	1083
569	1432	1080
570	1432	1076
571	1433	1072
572	1434	1069
573	1435	1065
574	1437	1062
575	1448	1066
576	1451	1063
577	1453	1061
578	1458	1060
579	1461	1058
580	1464	1055
581	1464	1052
582	1465	1048
583	1509	1075
584	1510	1071
585	1511	1068
586	1512	1064
587	1513	1060
588	1514	1057
589	1516	1053
590	1517	1050
591	1518	1046
592	1520	1043
593	1520	1039
594	1522	1036
595	1524	1033
596	1526	1030
597	1528	1027
598	1530	1024
599	1533	1022
600	1557	1034
601	1558	1030
602	1560	1027
603	1561	1023
604	1561	1019
605	1562	1016
606	1577	1021
607	1578	1017
608	1580	1014
609	1581	1011
610	1582	1007
611	1583	1003
612	1584	1000
613	1585	996
614	1593	997
615	1594	993
616	1595	990
617	1596	986
618	1596	982
619	1598	979
620	1599	976
621	1600	972
622	1600	968
623	1601	965
624	1602	961
625	1603	958
626	1606	955
627	1607	952
628	1609	949
629	1642	964
630	1643	960
631	1644	957
632	1645	953
633	1646	950
634	1647	946
635	1648	943
636	1657	944
637	1658	941
638	1659	937
639	1660	934
640	1661	930
641	1662	927
642	1663	923
643	1664	919
644	1664	916
645	1665	912
646	1666	909
647	1667	905
648	1668	902
649	1668	898
650	1670	895
651	1670	891
652	1671	888
653	1672	885
654	1673	881
655	1675	878
656	1676	875
657	1677	871
658	1678	868
659	1678	864
660	1679	861
661	1680	857
662	1681	854
663	1681	851
664	1682	847
665	1683	844
666	1697	847
667	1698	844
668	1698	840
669	1699	837
670	1700	833
671	1701	830
672	1702	827
673	1702	823
674	1703	820
675	1704	816
676	1705	813
677	1705	810
678	1706	806
679	1708	803
680	1708	800
681	1709	797
682	1710	793
683	1710	790
684	1711	786
685	1711	783
686	1712	780
687	1713	776
688	1746	788
689	1747	785
690	1748	781
691	1751	779
692	1751	776
693	1752	772
694	1753	769
695	1755	766
696	1755	763
697	1756	760
698	1757	756
699	1758	753
700	1759	750
701	1760	747
702	1761	744
703	1761	740
704	1762	737
705	1783	742
706	1784	739
707	1785	736
708	1785	733
709	1786	729
710	1787	726
711	1789	723
712	1789	720
713	1791	717
714	1792	714
715	1793	711
716	1793	708
717	1831	719
718	1832	715
719	1834	713
720	1836	710
721	1838	707
722	1838	704
723	1839	701
724	1839	697
725	1840	694
726	1841	691
727	1841	688
728	1842	684
729	1843	681
730	1864	686
731	1865	683
732	1866	679
733	1866	676
734	1867	673
735	1868	670
736	1868	666
737	1869	663
738	1870	660
739	1870	657
740	1871	654
741	1872	651
742	1873	647
743	1873	644
744	1874	641
745	1875	638
746	1882	637
747	1883	634
748	1883	631
749	1884	628
750	1885	625
751	1885	621
752	1886	618
753	1886	615
754	1887	612
755	1888	609
756	1889	606
757	1889	603
758	1890	600
759	1891	597
760	1891	594
761	1893	591
762	1893	588
763	1894	585
764	1895	582
765	1896	579
766	1897	576
767	1897	573
768	1898	570
769	1899	567
770	1900	564
771	1900	561
772	1901	558
773	1902	555
774	1903	552
775	1903	549
776	1904	546
777	1905	543
778	1907	541
779	1908	538
780	1909	535
781	1910	532
782	1911	529
783	1911	526
784	1912	523
785	1913	520
786	1914	518
787	1914	515
788	1915	512
789	1916	509
790	1916	506
791	1917	503
792	1918	500
793	1918	497
794	1919	494
795	1920	492
796	1922	489
797	1923	487
798	1924	484
799	1925	481
800	1926	478
801	1928	476
802	1928	473
803	1929	470
804	1930	467
805	1930	464
806	1931	461
807	1932	459
808	1932	456
809	1933	453
810	1934	450
811	1934	447
812	1935	445
813	1936	442
814	1936	439
815	1937	436
816	1939	434
817	1940	431
818	1941	428
819	1941	426
820	1942	423
821	1968	426
822	1969	423
823	1970	420
824	1970	418
825	1971	415
826	1971	412
827	1972	409
828	1973	406
829	1973	404
830	1990	404
831	1990	402
832	1991	399
833	1992	396
834	1992	393
835	1993	391
836	1993	388
837	1994	385
838	1994	382
839	1995	380
840	1996	377
841	1996	374
842	1997	371
843	1997	369
844	1998	366
845	1998	363
846	1999	361
847	1999	358
848	2000	355
849	2001	353
850	2001	350
851	2002	347
852	2002	345
853	2003	342
854	2003	339
855	2004	337
856	2004	334
857	2005	331
858	2006	329
859	2007	326
860	2008	324
861	2008	321
862	2010	319
863	2010	316
864	2011	313
865	2012	311
866	2012	308
867	2013	306
868	2014	303
869	2014	301
870	2015	298
871	2016	296
872	2017	293
873	2018	291
874	2019	288
875	2020	285
876	2020	283
877	2021	280
878	2021	278
879	2022	275
880	2023	273
881	2023	270
882	2024	268
883	2024	265
884	2025	263
885	2028	260
886	2028	258
887	2029	255
888	2030	253
889	2030	250
890	2031	248
891	2031	245
892	2032	243
893	2032	241
894	2033	238
895	2034	236
896	2034	233
897	2035	231
898	2035	228
899	2036	226
900	2037	223
901	2037	221
902	2038	218
903	2038	216
904	2039	214
905	2039	211
906	2040	209
907	2040	206
908	2041	204
909	2042	201
910	2042	199
911	2043	197
912	2043	194
913	2044	192
914	2044	189
9916	2060	186
917	2062	184
918	2063	181
919	2064	179
920	2066	177
921	2067	174
922	2067	172
923	2068	170
924	2069	167
925	2070	165
926	2070	163
927	2071	160
928	2072	158
929	2078	156
930	2078	154
931	2079	151
932	2079	149
933	2080	147
934	2081	144
935	2081	142
936	2082	140
937	2083	137
938	2083	135
939	2084	133
940	2084	130
941	2085	128
942	2086	126
943	2086	123
944	2087	121
945	2087	119
946	2088	116
947	2088	114
948	2089	112
949	2090	110
950	2098	108
951	2099	105
952	2100	103
953	2100	101
954	2101	99
955	2102	96
956	2102	94
957	2103	92
958	2104	89
959	2104	87
960	2105	85
961	2106	83
962	2106	80
963	2107	78
964	2108	76
965	2108	74
966	2109	71
967	2110	69
968	2110	67
969	2111	65
970	2111	63
971	2112	60
972	2113	58
973	2113	56
974	2114	54
975	2115	52
976	2115	49
977	2116	47
978	2116	45
979	2117	43
980	2118	41
981	2118	38
982	2119	36
983	2120	34
984	2120	32
985	2121	30
986	2122	27
987	2122	25
988	2123	23
989	2124	21
990	2124	19
991	2125	17
992	2125	14
993	2126	12
994	2127	10
995	2127	8
996	2128	6
997	2129	4
998	2129	2
999	2130	0
999	2093	0
